"assignment.id","worker.id","trial.num","rule.id","rule.desc","polarity","string","time"
"30BXRYBRP4XMC2MD2PVE5QTYFIMHWN","57b9205",1,"3a","The string contains only <code>a</code>'s and has at least three of them","positive","aaaaaa","1480618853432"
"30BXRYBRP4XMC2MD2PVE5QTYFIMHWN","57b9205",2,"zip-code","The string must be a valid US zip code (contains exactly 5 numbers)","positive","36039","1480618880410"
"30BXRYBRP4XMC2MD2PVE5QTYFIMHWN","57b9205",3,"consonants-only","The string contains only consonants","positive","wxyzzz","1480618896314"
"30BXRYBRP4XMC2MD2PVE5QTYFIMHWN","57b9205",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>","positive","[aa34509]","1480618919603"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",1,"3a","The string contains only <code>a</code>'s and has at least three of them","positive","aaajihg","1480619607026"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",1,"3a","The string contains only <code>a</code>'s and has at least three of them","negative","nodpaje","1480619620136"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",2,"zip-code","The string must be a valid US zip code (contains exactly 5 numbers)","positive","33317","1480619640268"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",2,"zip-code","The string must be a valid US zip code (contains exactly 5 numbers)","negative","00000","1480619651611"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",3,"consonants-only","The string contains only consonants","positive","cbndjf","1480619671864"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",3,"consonants-only","The string contains only consonants","negative","aeiou","1480619680602"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>","positive","[dj349d]","1480619699753"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>","negative","sjeowos","1480619720991"
"31EUONYN2V3JPU8VGSL83X7LKVYOV8","613ec1c",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>","positive","[239485672]","1480619729315"
"33SA9F9TRXUASSVBCON8KNWLN2UWEM","bcbceaf",1,"3a","The string contains only <code>a</code>'s and has at least three of them","positive","aaaa","1480616939432"
"33SA9F9TRXUASSVBCON8KNWLN2UWEM","bcbceaf",1,"3a","The string contains only <code>a</code>'s and has at least three of them","negative","abaa","1480616952516"
"33SA9F9TRXUASSVBCON8KNWLN2UWEM","bcbceaf",2,"zip-code","The string must be a valid US zip code (contains exactly 5 numbers)","positive","33559","1480616972676"
