"id","worker.id","accept.time","submit.time","ip","enjoy","fair_pay","gender","age","programming.experience","bugs","regex.experience","education"
"308Q0PEVB8DBW1KPFW37RIM2K7BI9F","0184d52",2017-03-02 22:00:33,2017-03-02 22:04:06,"96.47.93.80","It was enjoyable.","1.00","female","39","no","no","no","some_college"
"33PPO7FECVFNZRX6RC89DE5SBSQDIR","b8b29b7",2017-03-02 22:40:50,2017-03-02 23:04:25,"2605:6001:e188:c900:fc5a:eba2:d7ac:1586","very much","127 dollar","female","27","no","no","not sure","masters"
"340UGXU9DY1E2ZSSCEXH23ZA5UGVUF","c00580d",2017-03-02 21:59:52,2017-03-02 22:25:12,"74.90.254.106","*this much*","1.25","male","34","none","none","no","college"
"34MAJL3QP4NV9SWUDY0T649XFX0344","fa6b0d6",2017-03-02 21:59:42,2017-03-02 22:17:14,"50.105.152.41","I enjoyed it though am almost completely stumped if I even had a clue!!","1.00","Female","53","None","No issues, just extremely difficult!!","No and no experience, which I am sure is obvious based on my reasoning :-)","college"
"351SEKWQS0H9VANXCR6157C9S1ADM7","a5ecd84",2017-03-02 21:59:39,2017-03-02 22:06:49,"71.223.149.3","very much enjoyed the hit.","1.00","female","45","No I don't know how to program. ","I did not encounter any issues with the hit.","I do not know what Regular Expression means.","college"
"36AHBNMV1RC9PRCBVUUCZ2ZG1BNYDH","3e639a8",2017-03-02 21:59:26,2017-03-02 22:14:31,"69.23.146.39","i like strings. meoww","$10","white mail","28","on a scale of 1-5, a 4","none","i have lots of experience with muh regex","college"
"36PW28KO4ZWDLFS8BJRG2YZUYWMAED","ee50e35",2017-03-02 22:00:02,2017-03-02 22:10:08,"142.197.88.222","A lot, it was fun, not boring, paid fair.","1.00","female","25","None.","None.","None.","high_school"
"37M28K1J0QDLWVE0PK27ZECM34IAJY","49c1535",2017-03-02 22:00:34,2017-03-02 22:03:54,"24.235.79.230","The hit was kind of boring","10","f","31","none","no","no","high_school"
"37QW5D2ZRGM0CA4BFGR7VOXE9ZV8S8","e41fd9a",2017-03-02 21:59:41,2017-03-02 22:08:06,"2601:58c:4303:ed04:ec36:2948:2b31:a44","it was fun. much different than most hits",".75","female","30","no","no","no","some_college"
"37ZHEEHM6WMSSFEDFWY09GT76ZQ37O","fa8eade",2017-03-02 22:04:26,2017-03-02 22:20:23,"173.225.146.199","Good hit","1.00","Male","60","I know HTML, some minimal java script and some BASIC from years ago in college.","No, all went fine","I used to know from college but I know longer know what this is for sure.","college"
"39GXDJN2OTEG42LF9BWC6BHL83P8VD","1ac75e3",2017-03-02 22:00:37,2017-03-02 22:08:23,"2606:a000:61d0:5000:85d9:e95d:1874:324d","Didn't hate it, more fun than some other hits I have done recently.","1.00","Male","26","No I don't.","I didn't have any issues with the hit, although during some strings all the strings were completely different from the instructions which threw me off. It would be better to have a couple similar at least, unless that was the intention.","I don't know what a regular expression is.","college"
"39K0FND3AHFBX3KLSHFZF6437YDAM2","9d560a8",2017-03-02 22:00:40,2017-03-02 22:07:37,"160.3.3.123","slightly","$1","male","26","no","no","no","some_college"
"39L1G8WVWQREHTZBQGHR862U3DQ13P","48d2a84",2017-03-02 21:59:45,2017-03-02 22:11:13,"63.155.38.77","Moderatly","1.10","Male","21","No","Nope","No","some_college"
"39OWYR0EPKR6NBQ7M0P2N221DO3YFS","1539e4d",2017-03-02 21:59:35,2017-03-02 22:09:33,"208.54.80.234","it was good","1.00","f","33","small","no","no","some_college"
"3C44YUNSI1PFGDKA47YTMB64X6LDP3","5b184a5",2017-03-02 22:00:30,2017-03-02 22:06:46,"192.232.184.101","It was cool","1 dollar","Female","57","None","None","No","college"
"3DPNQGW4LLFU6BJCW0YRD7LHPO264D","db093d4",2017-03-02 22:01:04,2017-03-02 22:11:11,"199.116.153.82","A great deal.","1.00","Female","54","none","none","no","some_college"
"3E1QT0TDFP9BIW1FA4XTRMRR01TI8Q","32eefe5",2017-03-02 22:00:31,2017-03-02 22:06:29,"164.106.93.254","Very much!","$1.00","Female","21","no","no","no","some_college"
"3FIJLY1B6U4CEXY6VDTJAB9P9J1FPG","283d9bd",2017-03-02 22:02:38,2017-03-02 22:08:57,"2601:400:4200:3b12:d167:a5d7:8a8a:8242","Very much. ","1.00","Male","26","I only have very little experience with programming computers. I only have 1 beginner course for the college that I attended. ","None, great hit!","I do not have any experience with this. ","some_college"
"3FK0YFF9PZGEFEHSH47MYP1TJ1PVV4","7b84461",2017-03-02 21:59:35,2017-03-02 22:06:53,"2600:8801:1787:9b00:a16f:f049:ee4d:55dc","indifferent","1.50","male","29","none","no","no","some_college"
"3IO1LGZLK9XVPC6E83O4UJ1MRAY68K","8584b12",2017-03-02 22:00:59,2017-03-02 22:08:02,"85.97.186.121","I like it actually, no lies in here","0.75","Male","32","I know Matlab in an advance level","no","none","masters"
"3IOEN3P9S7JDECMT9IFPF9EED4S16V","e585812",2017-03-02 22:00:27,2017-03-02 22:11:32,"108.59.215.231","it was pretty fun trying to guess what the rules were","1.00","Male","24","No","No issues and the rules were hard to figure out but with the examples the instructions were clear","No","high_school"
"3IOEN3P9S7JDECMT9IFPF9EED4S610","1285d1b",2017-03-02 21:59:39,2017-03-02 22:27:21,"108.65.109.200","there was some enjoyment ","0.85","male","32","no","the last symbol was hard to classified","no","college"
"3JPSL1DZ5SZHFL5L4IUZSLT3CONAN2","a78cf9d",2017-03-02 22:00:33,2017-03-02 22:09:44,"69.207.172.128","fun and fast","1.00","female","59","no","the last page forwarded before I gave complete answer: numbers, letters and ] [ ","no","college"
