"assignment.id","worker.id","rule.id","gloss"
"308Q0PEVB8DBW1KPFW37RIM2K7BI9F","0184d52","3a","It must contain at least 3 As."
"308Q0PEVB8DBW1KPFW37RIM2K7BI9F","0184d52","zip-code","It must not contain Ks."
"308Q0PEVB8DBW1KPFW37RIM2K7BI9F","0184d52","consonants-only","It must not contain vowels."
"308Q0PEVB8DBW1KPFW37RIM2K7BI9F","0184d52","delimiters","It must be contained in []."
"33PPO7FECVFNZRX6RC89DE5SBSQDIR","b8b29b7","3a","contains only one kind of character"
"33PPO7FECVFNZRX6RC89DE5SBSQDIR","b8b29b7","zip-code","only have numbers"
"33PPO7FECVFNZRX6RC89DE5SBSQDIR","b8b29b7","consonants-only","no vowels"
"33PPO7FECVFNZRX6RC89DE5SBSQDIR","b8b29b7","delimiters","have brackets on both sides"
"340UGXU9DY1E2ZSSCEXH23ZA5UGVUF","c00580d","3a","having several a's in a row"
"340UGXU9DY1E2ZSSCEXH23ZA5UGVUF","c00580d","zip-code","letters dont match"
"340UGXU9DY1E2ZSSCEXH23ZA5UGVUF","c00580d","consonants-only","vowels dont match"
"340UGXU9DY1E2ZSSCEXH23ZA5UGVUF","c00580d","delimiters","[625458] is the only one that fits"
"34MAJL3QP4NV9SWUDY0T649XFX0344","fa6b0d6","3a","Only small letter a and only when three or more in a row."
"34MAJL3QP4NV9SWUDY0T649XFX0344","fa6b0d6","zip-code","Only five and exactly five consecutive one-digit numbers can form the string."
"34MAJL3QP4NV9SWUDY0T649XFX0344","fa6b0d6","consonants-only","String must be five consecutive keys, from left to right and immediately adjacent to each other on a standard QWERTY keyboard, without vowels. "
"34MAJL3QP4NV9SWUDY0T649XFX0344","fa6b0d6","delimiters","Any combination of capital letters and numbers contained within one set of brackets."
"351SEKWQS0H9VANXCR6157C9S1ADM7","a5ecd84","3a","the string has to be all the same letters. "
"351SEKWQS0H9VANXCR6157C9S1ADM7","a5ecd84","zip-code","It has to be all numbers in the string. "
"351SEKWQS0H9VANXCR6157C9S1ADM7","a5ecd84","consonants-only","There has to be multiple instances of the same letter in the string."
"351SEKWQS0H9VANXCR6157C9S1ADM7","a5ecd84","delimiters","combination of letters and numbers in brackets"
"36AHBNMV1RC9PRCBVUUCZ2ZG1BNYDH","3e639a8","3a","every element in the string must be the same"
