"id","worker.id","accept.time","submit.time","ip","enjoy","fair_pay","gender","age","programming.experience","bugs","regex.experience","education"
"30LB5CDZNCAFVXLMF480Y2OZGVC0Z8","bd3faab",2017-05-09 20:30:09,2017-05-09 20:43:55,"75.5.248.133","it was ok","$1 is ok","female","61","no","no issues or sugesstions","no,no experience","some_college"
"30LSNF239UV0WHZQUNOSHVEOHFA2IB","abcc10c",2017-05-08 22:23:03,2017-05-08 22:32:26,"2600:8807:2300:900:e9d7:ed1b:4767:358","It was ok","1.50","Male","30","none","no","no","high_school"
"30X31N5D63QEVYXQCEBLRF3922OAS4","c120b77",2017-05-09 20:31:28,2017-05-09 20:39:40,"52.144.44.250","Very much","1.00","male","26","Yes not much","No","good","college"
"32N49TQG3GIUNQEU69GQ22NG15YAVN","035f5d1",2017-05-08 22:56:43,2017-05-08 23:03:13,"173.170.203.190","Well enough.","1.00","Male","37","None.","Not at all - very clear.","No.","college"
"32SVAV9L3F9ABHCBMZAKJ7VXAMP3A5","57dbbaa",2017-05-09 20:28:09,2017-05-09 20:32:12,"2602:306:306c:8f00:58db:2423:f663:7fd","eh, ok",".75","female","34","no","none","no","some_college"
"336YQZE83VEERX84XLOI7VOHIZ55MH","4dde0c8",2017-05-09 20:26:32,2017-05-09 20:30:57,"184.171.149.31","It was enjoyable, I love brain puzzles/games ",".50","f","22","None! Clueless","No, easy enough.","No.","college"
"338JKRMM26ZP5PJA1KZMN1W7TR7AHJ","9394aee",2017-05-09 20:27:27,2017-05-09 20:31:10,"75.128.183.238","It was one of the more interesting HITs I've done.","1.00","female","32","none","no","no","masters"
"33C7UALJVLY0IQ5H2XCNZNA5MDR81S","0415cca",2017-05-08 22:09:21,2017-05-08 22:21:50,"50.81.102.36","not so much","1.00","female","52","no","no","no","college"
"33ISQZVXPPMMHW5SZ6HCI5PFG14CCT","e5edfed",2017-05-08 22:40:42,2017-05-08 22:51:34,"72.23.189.173","I enjoyed it. I prefer logic type hits.","1.00","male","36","I've taken a few programming classes.","no issues","I know what they are but have not created them before","some_college"
"33JKGHPFYCUIHMEA1LK41CO39K5MNO","1509125",2017-05-09 20:58:33,2017-05-09 21:10:22,"2604:2000:de47:ba00:2854:a326:1565:7d7f","it was great","$1","male","37","no","no","no","high_school"
"34Q075JO1XDI010E7TZ8684N3GZ10K","857bda8",2017-05-09 20:30:05,2017-05-09 20:36:00,"2605:6000:3e8a:9800:1cdf:77b7:6c97:289b","moderately","1.00","female","36","no","no issues","no","college"
"34S9DKFK73PIB33OKO8FV7BAIUJNYF","66e0a0e",2017-05-09 20:37:16,2017-05-09 20:42:57,"2607:fcc8:9a86:400:78aa:f5cb:ca46:5f6a","some enjoyment, it was interesting but a bit hard to understand.","1.00","Male","32","none","none.","no.","college"
"34T446B1C0E2N4ACNQOSN4NE7C60CN","f37d51f",2017-05-08 22:08:26,2017-05-08 22:17:24,"108.185.69.253","It made me think a bit.","1.00","male","29","none","none","no experience.","college"
"34T446B1C0E2N4ACNQOSN4NE7DQ0C9","d8431da",2017-05-09 20:25:46,2017-05-09 20:38:24,"2601:580:8300:ac80:b4a9:3840:8d61:1f99","It was much more enjoyable than I had anticipated. I thought it would've taken longer, but it's almost perfect with time duration and pay.","$1.50","Male","25","Only a little. I know basic languages and can do basic functions (i.e., ""Hello World"" and stuff in that ball park), but I'm not advanced nor even intermediate yet really.","I didn't quite understand the last password rule, but I don't think that counts as a difficulty with the study overall.","I'm not sure what this is. I might know what it is and have used/done it before, but it's likely I forgot.","high_school"
"34Z02EIMISDJ9LCN9CJICENIVZQ0TS","c1f836c",2017-05-09 20:35:46,2017-05-09 20:44:01,"50.5.226.234","Enjoyed it. Enjoy brain teasers","$1","Male","40","No","None","No","some_college"
"3570Y55XZPJC1BM2XKVK5N2DHIXGY0","1a25976",2017-05-09 20:53:02,2017-05-09 20:59:21,"99.157.98.29","Pretty engaging.","1.00","Male","46","No","No.","No","masters"
