"seq.id","rule.id","assignment.id","worker.id","exs","gloss"
"9eabb06","suffix-s","308XBLVESI47DT2533BCWGIJYJPRBT","1791295","""cats"" + ‖ ""cat"" - ‖ ""dogs"" + ‖ ""dog"" - ‖ ""s"" + ‖ ""aaas"" + ‖ ""saaa"" -","string ending with 's'"
"a33a11b","3a","308XBLVESI47DT2533BCWGIJYJPRBT","1791295","""a"" - ‖ ""aa"" - ‖ ""aaa"" + ‖ ""aaaa"" + ‖ ""aaaa4"" - ‖ ""546"" -","A string with three or more consecutive, small letter a's with no numbers or other symbols"
"d2f7661","delimiters","308XBLVESI47DT2533BCWGIJYJPRBT","1791295","""[sdf]"" + ‖ ""[343]"" + ‖ ""[3234234234]"" + ‖ ""[231ddddaaaa]"" + ‖ ""[##%DG]"" + ‖ ""[]"" + ‖ ""{}"" - ‖ ""23r23r"" - ‖ ""333333"" - ‖ ""34g34ggdgg"" -","string of characters contained within square brackets."
"f29e6ff","zip-code","308XBLVESI47DT2533BCWGIJYJPRBT","1791295","""12345"" + ‖ ""56789"" + ‖ ""13579"" + ‖ ""24684"" + ‖ ""98324"" + ‖ ""abcde"" - ‖ ""123456"" - ‖ ""1234a"" - ‖ ""a4567"" - ‖ ""1357911"" -","The rule is a string of five numbers."
"7db670e","3a","30BUDKLTXDVGF9GRGN0ZUNJ89YE5EU","6668b50","""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaaaaaaaa"" + ‖ ""abc"" -","any amount of a's"
"d2f7661","suffix-s","30BUDKLTXDVGF9GRGN0ZUNJ89YE5EU","6668b50","""eagles"" + ‖ ""pizzas"" + ‖ ""friends"" + ‖ ""asdfssss"" + ‖ ""3r280us"" + ‖ ""333333s"" + ‖ ""(*&(*^%%SDs"" + ‖ ""fasdfasdf"" - ‖ ""3333333"" - ‖ ""s"" + ‖ ""d"" - ‖ ""gwegw"" - ‖ ""eeeeee"" -","any characters that ends in s"
"ebda6ed","delimiters","30BUDKLTXDVGF9GRGN0ZUNJ89YE5EU","6668b50","""[123456]"" + ‖ ""[ABCDEFGH]"" + ‖ ""[A1B2C3D4F5]"" + ‖ ""123456"" - ‖ ""ABCDEFGH"" - ‖ ""A1B2C3D4F5"" -","numbers and letters inside parenthesis"
"f9e86c3","zip-code","30BUDKLTXDVGF9GRGN0ZUNJ89YE5EU","6668b50","""01234"" + ‖ ""00000"" + ‖ ""58432"" +","sny 5 numbers"
"51be3ed","delimiters","30BUDKLTXDVGF9GRGN0ZUNJ89YEE53","ebd225f","""[thrye]"" +","This string is placed in bracets in front and end of the string."
"96ed36e","suffix-s","30BUDKLTXDVGF9GRGN0ZUNJ89YEE53","ebd225f","""adhegds"" + ‖ ""565656s"" + ‖ ""#$#$gjgs"" + ‖ ""asdsada"" - ‖ ""23232323a"" - ‖ ""34343s3434f"" - ‖ ""#$#$#@#c"" -","This string you can mix numbers, letters, and symbols if they end with the letter ""s""."
"bb0e730","3a","30BUDKLTXDVGF9GRGN0ZUNJ89YEE53","ebd225f","""aaa"" + ‖ ""bbb"" - ‖ ""aa"" - ‖ ""aaaa"" + ‖ ""aaa1"" -","This string must only have letters that are the same nothing else can be added."
"ebda6ed","zip-code","30BUDKLTXDVGF9GRGN0ZUNJ89YEE53","ebd225f","""12345"" + ‖ ""1234A"" - ‖ ""32146"" + ‖ ""3214B"" - ‖ ""3214!"" - ‖ ""3214@"" -","In this string, it should only contain numbers and nothing else. Do not add symbols, letters, or punctuations to this string."
"0f5e5fa","zip-code","30H4UDGLT2IIK7QNH0XW51TY906MPM","1e45375","""53567"" + ‖ ""11111"" + ‖ ""fdsdf"" - ‖ ""afafafaf"" - ‖ ""22"" - ‖ ""4424"" - ‖ ""1"" - ‖ ""ghfghfgh"" - ‖ ""55555"" + ‖ ""33333"" + ‖ ""22222"" +","The string must be at least 5 numbers."
"3808bfe","suffix-s","30H4UDGLT2IIK7QNH0XW51TY906MPM","1e45375","""dogs"" + ‖ ""cat"" -","The string must be at least 4 letters."
"d2f7661","delimiters","30H4UDGLT2IIK7QNH0XW51TY906MPM","1e45375","""[sdf]"" + ‖ ""[343]"" + ‖ ""[3234234234]"" + ‖ ""[231ddddaaaa]"" + ‖ ""[##%DG]"" + ‖ ""[]"" + ‖ ""{}"" - ‖ ""23r23r"" - ‖ ""333333"" - ‖ ""34g34ggdgg"" -","The string can be any letters or numbers but they must be inside brackets."
"ebda6ed","3a","30H4UDGLT2IIK7QNH0XW51TY906MPM","1e45375","""aaa"" + ‖ ""aaas"" -","The string must be 3 or more of the same letter only."
"0f5e5fa","suffix-s","30LB5CDZNCAFVXLMF480Y2OZGVC0Z8","bd3faab","""hihos"" + ‖ ""hiho"" - ‖ ""eeeees"" + ‖ ""eeeee"" -","has to be letters, no numbers. can be 4-5 letters that must end in s"
"66584c1","zip-code","30LB5CDZNCAFVXLMF480Y2OZGVC0Z8","bd3faab","""abcde"" - ‖ ""12345"" + ‖ ""67890"" + ‖ ""a24fz"" - ‖ ""53417"" + ‖ ""163467"" - ‖ ""1479713"" - ‖ ""5659"" - ‖ ""12"" -","The string can only contain numbers. It has to be exactly 5 numbers, no more no less. Letters never belong "
"ebda6ed","3a","30LB5CDZNCAFVXLMF480Y2OZGVC0Z8","bd3faab","""aaa"" + ‖ ""aaas"" -","it has to be exactly 3 lettwers, other than that, i dont know"
"ec8b199","delimiters","30LB5CDZNCAFVXLMF480Y2OZGVC0Z8","bd3faab","""[A]"" + ‖ ""[A"" - ‖ ""A]"" - ‖ ""[]"" +","i dont know"
"0e0608d","zip-code","30LB5CDZNCAFVXLMF480Y2OZGWC0ZA","f688f91","""12345"" + ‖ ""37483"" + ‖ ""123456"" - ‖ ""1234"" - ‖ ""jd123"" - ‖ ""98765tr"" - ‖ ""[df45g]"" - ‖ ""01234"" + ‖ ""dhese"" -","5 numbers"
"49bb605","suffix-s","30LB5CDZNCAFVXLMF480Y2OZGWC0ZA","f688f91","""things"" + ‖ ""forces"" + ‖ ""sips"" + ‖ ""sip"" - ‖ ""try"" - ‖ ""helpfulness"" + ‖ ""helpful"" -","has s at the end"
"51be3ed","delimiters","30LB5CDZNCAFVXLMF480Y2OZGWC0ZA","f688f91","""[thrye]"" +","5 letters"
"a23551a","3a","30LB5CDZNCAFVXLMF480Y2OZGWC0ZA","f688f91","""aaaaa"" + ‖ ""aaaaA"" - ‖ ""fjkh"" - ‖ ""aaaaaaaa"" + ‖ ""aa"" -","triple same letters or more"
"032d129","delimiters","30LSNF239UV0WHZQUNOSHVEOHFA2IB","abcc10c","""[dog]"" + ‖ ""dog"" - ‖ ""[cat]"" + ‖ ""cat"" - ‖ ""[123]"" + ‖ ""123"" -","The rule is that there have to be brackets around the word or numbers."
"0f5e5fa","3a","30LSNF239UV0WHZQUNOSHVEOHFA2IB","abcc10c","""aaa"" + ‖ ""sss"" - ‖ ""fff"" - ‖ ""sdgsdgsdg"" - ‖ ""3353"" - ‖ ""aaa"" +","The rule seems to be aaa only fits."
"0f5e5fa","suffix-s","30LSNF239UV0WHZQUNOSHVEOHFA2IB","abcc10c","""hihos"" + ‖ ""hiho"" - ‖ ""eeeees"" + ‖ ""eeeee"" -","strings that end with the letter s seem to be the rule."
"ecba21d","zip-code","30LSNF239UV0WHZQUNOSHVEOHFA2IB","abcc10c","""48751"" + ‖ ""12523"" + ‖ ""95638"" + ‖ ""27849"" + ‖ ""39268"" + ‖ ""1411"" - ‖ ""2389"" - ‖ ""124789"" - ‖ ""12"" - ‖ ""1"" - ‖ ""127"" - ‖ ""4783961"" -","I think the rule is that 5-digit strings fit and any string that is shorter or longer doesn't."
"032d129","3a","30MVJZJNHMD7RC4VXEO73J1202T9JA","41610de","""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""bbbb"" - ‖ ""ccc"" - ‖ ""aa"" - ‖ ""a"" - ‖ ""aaab"" -","The string can only be made of a's and it has to have at least 3 characters."
